Sample,study,media_type,media,source,community,days
SRR7133954,goldford,simple,Glucose,goldford_X2,goldford_X2_5.0,20
SRR7133955,goldford,simple,Glucose,goldford_X2,goldford_X2_5.0,22
SRR7133857,goldford,simple,Glucose,goldford_X2,goldford_X2_6.0,2
SRR7133856,goldford,simple,Glucose,goldford_X2,goldford_X2_6.0,4
SRR7133859,goldford,simple,Glucose,goldford_X2,goldford_X2_6.0,6
SRR7133858,goldford,simple,Glucose,goldford_X2,goldford_X2_6.0,8
SRR7133861,goldford,simple,Glucose,goldford_X2,goldford_X2_6.0,10
SRR7133860,goldford,simple,Glucose,goldford_X2,goldford_X2_6.0,12
SRR7133863,goldford,simple,Glucose,goldford_X2,goldford_X2_6.0,14
SRR7133862,goldford,simple,Glucose,goldford_X2,goldford_X2_6.0,16
SRR7133854,goldford,simple,Glucose,goldford_X2,goldford_X2_6.0,18
SRR7133853,goldford,simple,Glucose,goldford_X2,goldford_X2_6.0,20
SRR7134274,goldford,simple,Glucose,goldford_X2,goldford_X2_6.0,22
SRR7134275,goldford,simple,Glucose,goldford_X2,goldford_X2_7.0,2
SRR7134272,goldford,simple,Glucose,goldford_X2,goldford_X2_7.0,4
SRR7134273,goldford,simple,Glucose,goldford_X2,goldford_X2_7.0,6
SRR7134278,goldford,simple,Glucose,goldford_X2,goldford_X2_7.0,8
SRR7134279,goldford,simple,Glucose,goldford_X2,goldford_X2_7.0,10
SRR7134276,goldford,simple,Glucose,goldford_X2,goldford_X2_7.0,12
SRR7134277,goldford,simple,Glucose,goldford_X2,goldford_X2_7.0,14
SRR7134270,goldford,simple,Glucose,goldford_X2,goldford_X2_7.0,16
SRR7134271,goldford,simple,Glucose,goldford_X2,goldford_X2_7.0,18
SRR7134176,goldford,simple,Glucose,goldford_X2,goldford_X2_7.0,20
SRR7134175,goldford,simple,Glucose,goldford_X2,goldford_X2_8.0,2
SRR7134174,goldford,simple,Glucose,goldford_X2,goldford_X2_8.0,4
SRR7134173,goldford,simple,Glucose,goldford_X2,goldford_X2_8.0,6
SRR7134180,goldford,simple,Glucose,goldford_X2,goldford_X2_8.0,8
SRR7134179,goldford,simple,Glucose,goldford_X2,goldford_X2_8.0,10
SRR7134178,goldford,simple,Glucose,goldford_X2,goldford_X2_8.0,12
SRR7134177,goldford,simple,Glucose,goldford_X2,goldford_X2_8.0,14
SRR7134182,goldford,simple,Glucose,goldford_X2,goldford_X2_8.0,16
SRR7134181,goldford,simple,Glucose,goldford_X2,goldford_X2_8.0,18
SRR7134025,goldford,simple,Glucose,goldford_X2,goldford_X2_8.0,20
SRR7134026,goldford,simple,Glucose,goldford_X6,goldford_X6_1.0,2
SRR7134027,goldford,simple,Glucose,goldford_X6,goldford_X6_1.0,4
SRR7134028,goldford,simple,Glucose,goldford_X6,goldford_X6_1.0,6
SRR7134021,goldford,simple,Glucose,goldford_X6,goldford_X6_1.0,8
SRR7134022,goldford,simple,Glucose,goldford_X6,goldford_X6_1.0,10
SRR7134023,goldford,simple,Glucose,goldford_X6,goldford_X6_1.0,12
SRR7134024,goldford,simple,Glucose,goldford_X6,goldford_X6_1.0,14
SRR7134029,goldford,simple,Glucose,goldford_X6,goldford_X6_1.0,16
SRR7134030,goldford,simple,Glucose,goldford_X6,goldford_X6_1.0,18
SRR7133872,goldford,simple,Glucose,goldford_X6,goldford_X6_1.0,20
SRR7133876,goldford,simple,Glucose,goldford_X6,goldford_X6_1.0,22
SRR7133877,goldford,simple,Glucose,goldford_X6,goldford_X6_7.0,22
SRR7133878,goldford,simple,Glucose,goldford_X6,goldford_X6_2.0,2
SRR7133855,goldford,simple,Glucose,goldford_X6,goldford_X6_2.0,4
SRR7133843,goldford,simple,Glucose,goldford_X6,goldford_X6_2.0,6
SRR7133864,goldford,simple,Glucose,goldford_X6,goldford_X6_2.0,8
SRR7133867,goldford,simple,Glucose,goldford_X6,goldford_X6_2.0,10
SRR7134039,goldford,simple,Glucose,goldford_X6,goldford_X6_2.0,12
SRR7134040,goldford,simple,Glucose,goldford_X6,goldford_X6_2.0,14
SRR7134258,goldford,simple,Glucose,goldford_X6,goldford_X6_2.0,16
SRR7134257,goldford,simple,Glucose,goldford_X6,goldford_X6_2.0,18
SRR7134238,goldford,simple,Glucose,goldford_X6,goldford_X6_2.0,20
SRR7134243,goldford,simple,Glucose,goldford_X6,goldford_X6_2.0,22
SRR7134269,goldford,simple,Glucose,goldford_X6,goldford_X6_8.0,22
SRR7134268,goldford,simple,Glucose,goldford_X6,goldford_X6_3.0,2
SRR7134267,goldford,simple,Glucose,goldford_X6,goldford_X6_3.0,4
SRR7134280,goldford,simple,Glucose,goldford_X6,goldford_X6_3.0,6
SRR7134192,goldford,simple,Glucose,goldford_X6,goldford_X6_3.0,8
SRR7134191,goldford,simple,Glucose,goldford_X6,goldford_X6_3.0,10
SRR7134339,goldford,simple,Glucose,goldford_X6,goldford_X6_3.0,12
SRR7134340,goldford,simple,Glucose,goldford_X6,goldford_X6_3.0,14
SRR7134337,goldford,simple,Glucose,goldford_X6,goldford_X6_3.0,16
SRR7134338,goldford,simple,Glucose,goldford_X6,goldford_X6_3.0,18
SRR7134335,goldford,simple,Glucose,goldford_X6,goldford_X6_3.0,20
SRR7134336,goldford,simple,Glucose,goldford_X6,goldford_X6_3.0,22
SRR7134333,goldford,simple,Glucose,goldford_X6,goldford_X6_4.0,2
SRR7134334,goldford,simple,Glucose,goldford_X6,goldford_X6_4.0,4
SRR7134331,goldford,simple,Glucose,goldford_X6,goldford_X6_4.0,6
SRR7134332,goldford,simple,Glucose,goldford_X6,goldford_X6_4.0,8
SRR7133894,goldford,simple,Glucose,goldford_X6,goldford_X6_4.0,10
SRR7133891,goldford,simple,Glucose,goldford_X6,goldford_X6_4.0,12
SRR7133901,goldford,simple,Glucose,goldford_X6,goldford_X6_4.0,14
SRR7133900,goldford,simple,Glucose,goldford_X6,goldford_X6_4.0,16
SRR7134385,goldford,simple,Glucose,goldford_X6,goldford_X6_4.0,18
SRR7134384,goldford,simple,Glucose,goldford_X6,goldford_X6_4.0,20
SRR7133890,goldford,simple,Glucose,goldford_X6,goldford_X6_4.0,22
SRR7133889,goldford,simple,Glucose,goldford_X6,goldford_X6_5.0,2
SRR7133923,goldford,simple,Glucose,goldford_X6,goldford_X6_5.0,4
SRR7133922,goldford,simple,Glucose,goldford_X6,goldford_X6_5.0,6
SRR7134216,goldford,simple,Glucose,goldford_X6,goldford_X6_5.0,8
SRR7134227,goldford,simple,Glucose,goldford_X6,goldford_X6_5.0,10
SRR7134291,goldford,simple,Glucose,goldford_X6,goldford_X6_5.0,12
SRR7134292,goldford,simple,Glucose,goldford_X6,goldford_X6_5.0,14
SRR7134293,goldford,simple,Glucose,goldford_X6,goldford_X6_5.0,16
SRR7134294,goldford,simple,Glucose,goldford_X6,goldford_X6_5.0,18
SRR7134295,goldford,simple,Glucose,goldford_X6,goldford_X6_5.0,20
SRR7134296,goldford,simple,Glucose,goldford_X6,goldford_X6_5.0,22
SRR7134089,goldford,simple,Glucose,goldford_X6,goldford_X6_6.0,2
SRR7134090,goldford,simple,Glucose,goldford_X6,goldford_X6_6.0,4
SRR7134246,goldford,simple,Glucose,goldford_X6,goldford_X6_6.0,6
SRR7134245,goldford,simple,Glucose,goldford_X6,goldford_X6_6.0,8
SRR7134244,goldford,simple,Glucose,goldford_X6,goldford_X6_6.0,10
SRR7134088,goldford,simple,Glucose,goldford_X6,goldford_X6_6.0,12
SRR7134242,goldford,simple,Glucose,goldford_X6,goldford_X6_6.0,14
SRR7134241,goldford,simple,Glucose,goldford_X6,goldford_X6_6.0,16
SRR7134087,goldford,simple,Glucose,goldford_X6,goldford_X6_6.0,18
SRR7134086,goldford,simple,Glucose,goldford_X6,goldford_X6_6.0,20
SRR7134122,goldford,simple,Glucose,goldford_X6,goldford_X6_6.0,22
SRR7134121,goldford,simple,Glucose,goldford_X6,goldford_X6_7.0,2
SRR7134388,goldford,simple,Glucose,goldford_X6,goldford_X6_7.0,4
SRR7134389,goldford,simple,Glucose,goldford_X6,goldford_X6_7.0,6
SRR7134386,goldford,simple,Glucose,goldford_X6,goldford_X6_7.0,8
SRR7134387,goldford,simple,Glucose,goldford_X6,goldford_X6_7.0,10
SRR7134392,goldford,simple,Glucose,goldford_X6,goldford_X6_7.0,12
SRR7134393,goldford,simple,Glucose,goldford_X6,goldford_X6_7.0,14
SRR7134390,goldford,simple,Glucose,goldford_X6,goldford_X6_7.0,16
SRR7134391,goldford,simple,Glucose,goldford_X6,goldford_X6_7.0,18
SRR7134396,goldford,simple,Glucose,goldford_X6,goldford_X6_7.0,20
SRR7134397,goldford,simple,Glucose,goldford_X6,goldford_X6_8.0,2
SRR7133991,goldford,simple,Glucose,goldford_X6,goldford_X6_8.0,4
SRR7133990,goldford,simple,Glucose,goldford_X6,goldford_X6_8.0,6
SRR7133993,goldford,simple,Glucose,goldford_X6,goldford_X6_8.0,8
SRR7133992,goldford,simple,Glucose,goldford_X6,goldford_X6_8.0,10
SRR7133995,goldford,simple,Glucose,goldford_X6,goldford_X6_8.0,12
SRR7133994,goldford,simple,Glucose,goldford_X6,goldford_X6_8.0,14
SRR7133997,goldford,simple,Glucose,goldford_X6,goldford_X6_8.0,16
SRR7133996,goldford,simple,Glucose,goldford_X6,goldford_X6_8.0,18
SRR7133999,goldford,simple,Glucose,goldford_X6,goldford_X6_8.0,20
SRR7133998,goldford,simple,Glucose,goldford_X1,goldford_X1_4.0,2
SRR7133848,goldford,simple,Glucose,goldford_X3,goldford_X3_4.0,2
SRR7133849,goldford,simple,Glucose,goldford_X4,goldford_X4_4.0,2
SRR7133850,goldford,simple,Glucose,goldford_X5,goldford_X5_4.0,2
SRR7133851,goldford,simple,Glucose,goldford_X7,goldford_X7_4.0,2
SRR7133844,goldford,simple,Glucose,goldford_X8,goldford_X8_4.0,2
SRR7133845,goldford,simple,Glucose,goldford_X9,goldford_X9_4.0,2
SRR7133846,goldford,simple,Glucose,goldford_X10,goldford_X10_4.0,2
SRR7133847,goldford,simple,Glucose,goldford_X11,goldford_X11_4.0,2
SRR7133842,goldford,simple,Glucose,goldford_X12,goldford_X12_4.0,2
SRR7134015,goldford,simple,Glucose,goldford_X1,goldford_X1_4.0,4
SRR7134014,goldford,simple,Glucose,goldford_X3,goldford_X3_4.0,4
SRR7134013,goldford,simple,Glucose,goldford_X4,goldford_X4_4.0,4
SRR7134020,goldford,simple,Glucose,goldford_X5,goldford_X5_4.0,4
SRR7134019,goldford,simple,Glucose,goldford_X7,goldford_X7_4.0,4
SRR7134018,goldford,simple,Glucose,goldford_X8,goldford_X8_4.0,4
SRR7134017,goldford,simple,Glucose,goldford_X9,goldford_X9_4.0,4
SRR7134012,goldford,simple,Glucose,goldford_X10,goldford_X10_4.0,4
SRR7134011,goldford,simple,Glucose,goldford_X11,goldford_X11_4.0,4
SRR7134399,goldford,simple,Glucose,goldford_X12,goldford_X12_4.0,4
SRR7134400,goldford,simple,Glucose,goldford_X1,goldford_X1_4.0,6
SRR7134395,goldford,simple,Glucose,goldford_X3,goldford_X3_4.0,6
SRR7134394,goldford,simple,Glucose,goldford_X4,goldford_X4_4.0,6
SRR7133921,goldford,simple,Glucose,goldford_X5,goldford_X5_4.0,6
SRR7133920,goldford,simple,Glucose,goldford_X7,goldford_X7_4.0,6
SRR7133906,goldford,simple,Glucose,goldford_X8,goldford_X8_4.0,6
SRR7133903,goldford,simple,Glucose,goldford_X9,goldford_X9_4.0,6
SRR7134145,goldford,simple,Glucose,goldford_X10,goldford_X10_4.0,6
SRR7134156,goldford,simple,Glucose,goldford_X11,goldford_X11_4.0,6
SRR7134119,goldford,simple,Glucose,goldford_X12,goldford_X12_4.0,6
SRR7134118,goldford,simple,Glucose,goldford_X1,goldford_X1_4.0,8
SRR7134105,goldford,simple,Glucose,goldford_X3,goldford_X3_4.0,8
SRR7134352,goldford,simple,Glucose,goldford_X4,goldford_X4_4.0,8
SRR7134074,goldford,simple,Glucose,goldford_X5,goldford_X5_4.0,8
SRR7134085,goldford,simple,Glucose,goldford_X7,goldford_X7_4.0,8
SRR7134298,goldford,simple,Glucose,goldford_X8,goldford_X8_4.0,8
SRR7134297,goldford,simple,Glucose,goldford_X9,goldford_X9_4.0,8
SRR7134102,goldford,simple,Glucose,goldford_X10,goldford_X10_4.0,8
SRR7134101,goldford,simple,Glucose,goldford_X11,goldford_X11_4.0,8
SRR7134108,goldford,simple,Glucose,goldford_X12,goldford_X12_4.0,8
SRR7134299,goldford,simple,Glucose,goldford_X1,goldford_X1_4.0,10
SRR7134311,goldford,simple,Glucose,goldford_X3,goldford_X3_4.0,10
SRR7134310,goldford,simple,Glucose,goldford_X4,goldford_X4_4.0,10
SRR7133938,goldford,simple,Glucose,goldford_X5,goldford_X5_4.0,10
SRR7133939,goldford,simple,Glucose,goldford_X7,goldford_X7_4.0,10
SRR7133940,goldford,simple,Glucose,goldford_X8,goldford_X8_4.0,10
SRR7133941,goldford,simple,Glucose,goldford_X9,goldford_X9_4.0,10
SRR7133934,goldford,simple,Glucose,goldford_X10,goldford_X10_4.0,10
SRR7133935,goldford,simple,Glucose,goldford_X11,goldford_X11_4.0,10
SRR7133936,goldford,simple,Glucose,goldford_X12,goldford_X12_4.0,10
SRR7133942,goldford,simple,Glucose,goldford_X1,goldford_X1_4.0,12
SRR7133943,goldford,simple,Glucose,goldford_X3,goldford_X3_4.0,12
SRR7134329,goldford,simple,Glucose,goldford_X4,goldford_X4_4.0,12
SRR7134328,goldford,simple,Glucose,goldford_X5,goldford_X5_4.0,12
SRR7133907,goldford,simple,Glucose,goldford_X7,goldford_X7_4.0,12
SRR7134330,goldford,simple,Glucose,goldford_X8,goldford_X8_4.0,12
SRR7133909,goldford,simple,Glucose,goldford_X9,goldford_X9_4.0,12
SRR7133908,goldford,simple,Glucose,goldford_X10,goldford_X10_4.0,12
SRR7133911,goldford,simple,Glucose,goldford_X11,goldford_X11_4.0,12
SRR7133910,goldford,simple,Glucose,goldford_X12,goldford_X12_4.0,12
SRR7134314,goldford,simple,Glucose,goldford_X1,goldford_X1_4.0,14
SRR7134315,goldford,simple,Glucose,goldford_X3,goldford_X3_4.0,14
SRR7134312,goldford,simple,Glucose,goldford_X4,goldford_X4_4.0,14
SRR7134313,goldford,simple,Glucose,goldford_X5,goldford_X5_4.0,14
SRR7134318,goldford,simple,Glucose,goldford_X7,goldford_X7_4.0,14
SRR7134319,goldford,simple,Glucose,goldford_X8,goldford_X8_4.0,14
SRR7133944,goldford,simple,Glucose,goldford_X9,goldford_X9_4.0,14
SRR7133945,goldford,simple,Glucose,goldford_X10,goldford_X10_4.0,14
SRR7133956,goldford,simple,Glucose,goldford_X11,goldford_X11_4.0,14
SRR7133959,goldford,simple,Glucose,goldford_X12,goldford_X12_4.0,14
SRR7134134,goldford,simple,Glucose,goldford_X1,goldford_X1_4.0,16
SRR7134133,goldford,simple,Glucose,goldford_X3,goldford_X3_4.0,16
SRR7134162,goldford,simple,Glucose,goldford_X4,goldford_X4_4.0,16
SRR7134161,goldford,simple,Glucose,goldford_X5,goldford_X5_4.0,16
SRR7134160,goldford,simple,Glucose,goldford_X7,goldford_X7_4.0,16
SRR7134159,goldford,simple,Glucose,goldford_X8,goldford_X8_4.0,16
SRR7134158,goldford,simple,Glucose,goldford_X9,goldford_X9_4.0,16
SRR7134157,goldford,simple,Glucose,goldford_X10,goldford_X10_4.0,16
SRR7134154,goldford,simple,Glucose,goldford_X11,goldford_X11_4.0,16
SRR7134148,goldford,simple,Glucose,goldford_X12,goldford_X12_4.0,16
SRR7253640,goldford,simple,Glucose,goldford_X13,goldford_X13_1.0,16
SRR7253639,goldford,simple,Glucose,goldford_X13,goldford_X13_1.0,18
SRR7253638,goldford,simple,Glucose,goldford_X13,goldford_X13_1.0,20
SRR7253637,goldford,simple,Glucose,goldford_X14,goldford_X14_1.0,16
SRR7253636,goldford,simple,Glucose,goldford_X14,goldford_X14_1.0,18
SRR7253645,goldford,simple,Glucose,goldford_X14,goldford_X14_1.0,20
SRR7253644,goldford,simple,Glucose,goldford_X15,goldford_X15_1.0,16
SRR7253653,goldford,simple,Glucose,goldford_X15,goldford_X15_1.0,18
SRR7253652,goldford,simple,Glucose,goldford_X15,goldford_X15_1.0,20
SRR7133968_Citrate_goldford_X1_1.0,goldford,simple,Citrate,goldford_X1,goldford_X1_1.0,0
SRR7133968_Citrate_goldford_X1_2.0,goldford,simple,Citrate,goldford_X1,goldford_X1_2.0,0
SRR7133968_Citrate_goldford_X1_3.0,goldford,simple,Citrate,goldford_X1,goldford_X1_3.0,0
SRR7133968_Citrate_goldford_X1_4.0,goldford,simple,Citrate,goldford_X1,goldford_X1_4.0,0
SRR7133968_Citrate_goldford_X1_5.0,goldford,simple,Citrate,goldford_X1,goldford_X1_5.0,0
SRR7133968_Citrate_goldford_X1_6.0,goldford,simple,Citrate,goldford_X1,goldford_X1_6.0,0
SRR7133968_Citrate_goldford_X1_7.0,goldford,simple,Citrate,goldford_X1,goldford_X1_7.0,0
SRR7133968_Citrate_goldford_X1_8.0,goldford,simple,Citrate,goldford_X1,goldford_X1_8.0,0
SRR7133968_Leucine_goldford_X1_1.0,goldford,simple,Leucine,goldford_X1,goldford_X1_1.0,0
SRR7133968_Leucine_goldford_X1_2.0,goldford,simple,Leucine,goldford_X1,goldford_X1_2.0,0
SRR7133968_Leucine_goldford_X1_3.0,goldford,simple,Leucine,goldford_X1,goldford_X1_3.0,0
SRR7133968_Leucine_goldford_X1_4.0,goldford,simple,Leucine,goldford_X1,goldford_X1_4.0,0
SRR7133968_Leucine_goldford_X1_5.0,goldford,simple,Leucine,goldford_X1,goldford_X1_5.0,0
SRR7133968_Leucine_goldford_X1_6.0,goldford,simple,Leucine,goldford_X1,goldford_X1_6.0,0
SRR7133968_Leucine_goldford_X1_7.0,goldford,simple,Leucine,goldford_X1,goldford_X1_7.0,0
SRR7133968_Leucine_goldford_X1_8.0,goldford,simple,Leucine,goldford_X1,goldford_X1_8.0,0
SRR7133968_Glucose_goldford_X1_1.0,goldford,simple,Glucose,goldford_X1,goldford_X1_1.0,0
SRR7133968_Glucose_goldford_X1_2.0,goldford,simple,Glucose,goldford_X1,goldford_X1_2.0,0
SRR7133968_Glucose_goldford_X1_3.0,goldford,simple,Glucose,goldford_X1,goldford_X1_3.0,0
SRR7133968_Glucose_goldford_X1_4.0,goldford,simple,Glucose,goldford_X1,goldford_X1_4.0,0
SRR7133968_Glucose_goldford_X1_5.0,goldford,simple,Glucose,goldford_X1,goldford_X1_5.0,0
SRR7133968_Glucose_goldford_X1_6.0,goldford,simple,Glucose,goldford_X1,goldford_X1_6.0,0
SRR7133968_Glucose_goldford_X1_7.0,goldford,simple,Glucose,goldford_X1,goldford_X1_7.0,0
SRR7133968_Glucose_goldford_X1_8.0,goldford,simple,Glucose,goldford_X1,goldford_X1_8.0,0
SRR7134016_Citrate_goldford_X7_1.0,goldford,simple,Citrate,goldford_X7,goldford_X7_1.0,0
SRR7134016_Citrate_goldford_X7_2.0,goldford,simple,Citrate,goldford_X7,goldford_X7_2.0,0
SRR7134016_Citrate_goldford_X7_3.0,goldford,simple,Citrate,goldford_X7,goldford_X7_3.0,0
SRR7134016_Citrate_goldford_X7_4.0,goldford,simple,Citrate,goldford_X7,goldford_X7_4.0,0
SRR7134016_Citrate_goldford_X7_5.0,goldford,simple,Citrate,goldford_X7,goldford_X7_5.0,0
SRR7134016_Citrate_goldford_X7_6.0,goldford,simple,Citrate,goldford_X7,goldford_X7_6.0,0
SRR7134016_Citrate_goldford_X7_7.0,goldford,simple,Citrate,goldford_X7,goldford_X7_7.0,0
SRR7134016_Citrate_goldford_X7_8.0,goldford,simple,Citrate,goldford_X7,goldford_X7_8.0,0
SRR7134016_Leucine_goldford_X7_1.0,goldford,simple,Leucine,goldford_X7,goldford_X7_1.0,0
SRR7134016_Leucine_goldford_X7_2.0,goldford,simple,Leucine,goldford_X7,goldford_X7_2.0,0
SRR7134016_Leucine_goldford_X7_3.0,goldford,simple,Leucine,goldford_X7,goldford_X7_3.0,0
SRR7134016_Leucine_goldford_X7_4.0,goldford,simple,Leucine,goldford_X7,goldford_X7_4.0,0
SRR7134016_Leucine_goldford_X7_5.0,goldford,simple,Leucine,goldford_X7,goldford_X7_5.0,0
SRR7134016_Leucine_goldford_X7_6.0,goldford,simple,Leucine,goldford_X7,goldford_X7_6.0,0
SRR7134016_Leucine_goldford_X7_7.0,goldford,simple,Leucine,goldford_X7,goldford_X7_7.0,0
SRR7134016_Leucine_goldford_X7_8.0,goldford,simple,Leucine,goldford_X7,goldford_X7_8.0,0
SRR7134016_Glucose_goldford_X7_1.0,goldford,simple,Glucose,goldford_X7,goldford_X7_1.0,0
SRR7134016_Glucose_goldford_X7_2.0,goldford,simple,Glucose,goldford_X7,goldford_X7_2.0,0
SRR7134016_Glucose_goldford_X7_3.0,goldford,simple,Glucose,goldford_X7,goldford_X7_3.0,0
SRR7134016_Glucose_goldford_X7_4.0,goldford,simple,Glucose,goldford_X7,goldford_X7_4.0,0
SRR7134016_Glucose_goldford_X7_5.0,goldford,simple,Glucose,goldford_X7,goldford_X7_5.0,0
SRR7134016_Glucose_goldford_X7_6.0,goldford,simple,Glucose,goldford_X7,goldford_X7_6.0,0
SRR7134016_Glucose_goldford_X7_7.0,goldford,simple,Glucose,goldford_X7,goldford_X7_7.0,0
SRR7134016_Glucose_goldford_X7_8.0,goldford,simple,Glucose,goldford_X7,goldford_X7_8.0,0
SRR7134398_Citrate_goldford_X2_1.0,goldford,simple,Citrate,goldford_X2,goldford_X2_1.0,0
SRR7134398_Citrate_goldford_X2_2.0,goldford,simple,Citrate,goldford_X2,goldford_X2_2.0,0
SRR7134398_Citrate_goldford_X2_3.0,goldford,simple,Citrate,goldford_X2,goldford_X2_3.0,0
SRR7134398_Citrate_goldford_X2_4.0,goldford,simple,Citrate,goldford_X2,goldford_X2_4.0,0
SRR7134398_Citrate_goldford_X2_5.0,goldford,simple,Citrate,goldford_X2,goldford_X2_5.0,0
SRR7134398_Citrate_goldford_X2_6.0,goldford,simple,Citrate,goldford_X2,goldford_X2_6.0,0
SRR7134398_Citrate_goldford_X2_7.0,goldford,simple,Citrate,goldford_X2,goldford_X2_7.0,0
SRR7134398_Citrate_goldford_X2_8.0,goldford,simple,Citrate,goldford_X2,goldford_X2_8.0,0
SRR7134398_Leucine_goldford_X2_1.0,goldford,simple,Leucine,goldford_X2,goldford_X2_1.0,0
SRR7134398_Leucine_goldford_X2_2.0,goldford,simple,Leucine,goldford_X2,goldford_X2_2.0,0
SRR7134398_Leucine_goldford_X2_3.0,goldford,simple,Leucine,goldford_X2,goldford_X2_3.0,0
SRR7134398_Leucine_goldford_X2_4.0,goldford,simple,Leucine,goldford_X2,goldford_X2_4.0,0
SRR7134398_Leucine_goldford_X2_5.0,goldford,simple,Leucine,goldford_X2,goldford_X2_5.0,0
SRR7134398_Leucine_goldford_X2_6.0,goldford,simple,Leucine,goldford_X2,goldford_X2_6.0,0
SRR7134398_Leucine_goldford_X2_7.0,goldford,simple,Leucine,goldford_X2,goldford_X2_7.0,0
SRR7134398_Leucine_goldford_X2_8.0,goldford,simple,Leucine,goldford_X2,goldford_X2_8.0,0
SRR7134398_Glucose_goldford_X2_1.0,goldford,simple,Glucose,goldford_X2,goldford_X2_1.0,0
SRR7134398_Glucose_goldford_X2_2.0,goldford,simple,Glucose,goldford_X2,goldford_X2_2.0,0
SRR7134398_Glucose_goldford_X2_3.0,goldford,simple,Glucose,goldford_X2,goldford_X2_3.0,0
SRR7134398_Glucose_goldford_X2_4.0,goldford,simple,Glucose,goldford_X2,goldford_X2_4.0,0
SRR7134398_Glucose_goldford_X2_5.0,goldford,simple,Glucose,goldford_X2,goldford_X2_5.0,0
SRR7134398_Glucose_goldford_X2_6.0,goldford,simple,Glucose,goldford_X2,goldford_X2_6.0,0
SRR7134398_Glucose_goldford_X2_7.0,goldford,simple,Glucose,goldford_X2,goldford_X2_7.0,0
SRR7134398_Glucose_goldford_X2_8.0,goldford,simple,Glucose,goldford_X2,goldford_X2_8.0,0
SRR7134401_Citrate_goldford_X8_1.0,goldford,simple,Citrate,goldford_X8,goldford_X8_1.0,0
SRR7134401_Citrate_goldford_X8_2.0,goldford,simple,Citrate,goldford_X8,goldford_X8_2.0,0
SRR7134401_Citrate_goldford_X8_3.0,goldford,simple,Citrate,goldford_X8,goldford_X8_3.0,0
SRR7134401_Citrate_goldford_X8_4.0,goldford,simple,Citrate,goldford_X8,goldford_X8_4.0,0
SRR7134401_Citrate_goldford_X8_5.0,goldford,simple,Citrate,goldford_X8,goldford_X8_5.0,0
SRR7134401_Citrate_goldford_X8_6.0,goldford,simple,Citrate,goldford_X8,goldford_X8_6.0,0
SRR7134401_Citrate_goldford_X8_7.0,goldford,simple,Citrate,goldford_X8,goldford_X8_7.0,0
SRR7134401_Citrate_goldford_X8_8.0,goldford,simple,Citrate,goldford_X8,goldford_X8_8.0,0
SRR7134401_Leucine_goldford_X8_1.0,goldford,simple,Leucine,goldford_X8,goldford_X8_1.0,0
SRR7134401_Leucine_goldford_X8_2.0,goldford,simple,Leucine,goldford_X8,goldford_X8_2.0,0
SRR7134401_Leucine_goldford_X8_3.0,goldford,simple,Leucine,goldford_X8,goldford_X8_3.0,0
SRR7134401_Leucine_goldford_X8_4.0,goldford,simple,Leucine,goldford_X8,goldford_X8_4.0,0
SRR7134401_Leucine_goldford_X8_5.0,goldford,simple,Leucine,goldford_X8,goldford_X8_5.0,0
SRR7134401_Leucine_goldford_X8_6.0,goldford,simple,Leucine,goldford_X8,goldford_X8_6.0,0
SRR7134401_Leucine_goldford_X8_7.0,goldford,simple,Leucine,goldford_X8,goldford_X8_7.0,0
SRR7134401_Leucine_goldford_X8_8.0,goldford,simple,Leucine,goldford_X8,goldford_X8_8.0,0
SRR7134401_Glucose_goldford_X8_1.0,goldford,simple,Glucose,goldford_X8,goldford_X8_1.0,0
SRR7134401_Glucose_goldford_X8_2.0,goldford,simple,Glucose,goldford_X8,goldford_X8_2.0,0
SRR7134401_Glucose_goldford_X8_3.0,goldford,simple,Glucose,goldford_X8,goldford_X8_3.0,0
SRR7134401_Glucose_goldford_X8_4.0,goldford,simple,Glucose,goldford_X8,goldford_X8_4.0,0
SRR7134401_Glucose_goldford_X8_5.0,goldford,simple,Glucose,goldford_X8,goldford_X8_5.0,0
SRR7134401_Glucose_goldford_X8_6.0,goldford,simple,Glucose,goldford_X8,goldford_X8_6.0,0
SRR7134401_Glucose_goldford_X8_7.0,goldford,simple,Glucose,goldford_X8,goldford_X8_7.0,0
SRR7134401_Glucose_goldford_X8_8.0,goldford,simple,Glucose,goldford_X8,goldford_X8_8.0,0
SRR7134120_Citrate_goldford_X3_1.0,goldford,simple,Citrate,goldford_X3,goldford_X3_1.0,0
SRR7134120_Citrate_goldford_X3_2.0,goldford,simple,Citrate,goldford_X3,goldford_X3_2.0,0
SRR7134120_Citrate_goldford_X3_3.0,goldford,simple,Citrate,goldford_X3,goldford_X3_3.0,0
SRR7134120_Citrate_goldford_X3_4.0,goldford,simple,Citrate,goldford_X3,goldford_X3_4.0,0
SRR7134120_Citrate_goldford_X3_5.0,goldford,simple,Citrate,goldford_X3,goldford_X3_5.0,0
SRR7134120_Citrate_goldford_X3_6.0,goldford,simple,Citrate,goldford_X3,goldford_X3_6.0,0
SRR7134120_Citrate_goldford_X3_7.0,goldford,simple,Citrate,goldford_X3,goldford_X3_7.0,0
SRR7134120_Citrate_goldford_X3_8.0,goldford,simple,Citrate,goldford_X3,goldford_X3_8.0,0
SRR7134120_Leucine_goldford_X3_1.0,goldford,simple,Leucine,goldford_X3,goldford_X3_1.0,0
